product_id,product_name,category,unit_cost,supplier
1,Wireless Mouse,Audio,126.21,GadgetPro
2,Mechanical Keyboard,Storage,11.34,ElectroWorld
3,USB-C Hub,Furniture,14.38,GadgetPro
4,Laptop Stand,Storage,109.71,HomeGoods
5,Webcam 4K,Storage,85.97,HomeGoods
6,Noise Cancelling Headphones,Accessories,18.87,HomeGoods
7,External SSD 1TB,Furniture,195.01,HomeGoods
8,"Monitor 27""",Furniture,54.23,ElectroWorld
9,Desk Lamp LED,Furniture,27.22,OfficeMax
10,Phone Charger,Storage,127.49,TechCorp
11,Bluetooth Speaker,Audio,82.67,HomeGoods
12,Tablet Stand,Furniture,196.81,GadgetPro
13,Cable Organizer,Storage,98.68,HomeGoods
14,Webcam HD,Accessories,173.39,GadgetPro
15,Gaming Mouse,Audio,139.26,GadgetPro
16,Ergonomic Chair,Accessories,95.59,HomeGoods
17,Standing Desk,Audio,12.52,ElectroWorld
18,Monitor Arm,Storage,189.02,GadgetPro
19,Desk Mat,Electronics,117.02,GadgetPro
20,USB Microphone,Audio,83.23,HomeGoods
